batter,BB_rate,K_rate,wOBA,wRCplus
656669,0.127,0.227,0.360,123
474568,0.051,0.201,0.308,89
595751,0.046,0.336,0.305,91
593528,0.052,0.287,0.285,76
593871,0.078,0.162,0.337,110
624585,0.108,0.279,0.369,130
547989,0.057,0.221,0.363,130
514888,0.077,0.160,0.347,122
578428,0.034,0.128,0.329,101
592530,0.061,0.278,0.287,83
500874,0.096,0.231,0.307,92
591741,0.060,0.174,0.309,90
606299,0.042,0.145,0.272,62
608070,0.104,0.147,0.360,124
602922,0.070,0.242,0.241,47
624431,0.029,0.201,0.285,71
605137,0.115,0.212,0.354,120
518626,0.155,0.235,0.375,131
658069,0.019,0.308,0.302,71
543281,0.050,0.164,0.257,54
647304,0.078,0.198,0.298,84
572033,0.044,0.183,0.286,80
502210,0.074,0.142,0.307,94
668942,0.110,0.251,0.257,54
642165,0.106,0.236,0.294,77
501571,0.077,0.263,0.258,60
665742,0.174,0.187,0.412,156
628356,0.059,0.324,0.256,55
595777,0.088,0.143,0.311,96
571506,0.100,0.306,0.267,63
475253,0.141,0.234,0.311,93
457759,0.095,0.157,0.371,134
457708,0.102,0.287,0.307,92
434778,0.129,0.129,0.264,63
542979,0.088,0.456,0.229,39
669374,0.069,0.323,0.353,118
606466,0.073,0.130,0.384,137
607345,0.084,0.193,0.314,96
595281,0.072,0.228,0.288,82
621028,0.057,0.118,0.318,96
607680,0.036,0.150,0.309,89
608700,0.065,0.171,0.307,88
501981,0.090,0.272,0.288,82
594777,0.114,0.247,0.339,111
543939,0.089,0.149,0.326,103
592178,0.110,0.237,0.362,124
435559,0.071,0.126,0.334,104
571657,0.056,0.270,0.289,74
543309,0.000,0.352,0.293,81
641786,0.117,0.315,0.351,126
656941,0.120,0.266,0.343,113
572122,0.110,0.172,0.334,113
663656,0.073,0.220,0.349,125
664774,0.133,0.159,0.306,90
665750,0.104,0.321,0.307,93
547982,0.080,0.295,0.269,61
544725,0.037,0.217,0.297,85
621446,0.053,0.289,0.227,41
523253,0.119,0.277,0.290,70
456715,0.082,0.168,0.304,85
666971,0.060,0.236,0.363,128
446263,0.092,0.269,0.245,46
650333,0.090,0.082,0.354,122
671277,0.036,0.209,0.291,78
641645,0.123,0.225,0.340,115
650859,0.105,0.232,0.284,75
673357,0.088,0.322,0.316,101
649966,0.095,0.238,0.287,77
571912,0.062,0.256,0.194,14
572228,0.118,0.263,0.370,134
607776,0.097,0.306,0.230,41
596748,0.077,0.148,0.299,83
605480,0.072,0.251,0.269,68
592518,0.099,0.180,0.351,119
444489,0.085,0.272,0.312,90
622534,0.085,0.188,0.297,85
542303,0.123,0.213,0.371,132
593523,0.019,0.271,0.266,58
543760,0.114,0.155,0.355,127
592192,0.141,0.218,0.374,141
448602,0.136,0.352,0.267,47
455117,0.109,0.254,0.300,87
445988,0.046,0.158,0.243,50
503556,0.073,0.210,0.300,85
571431,0.057,0.346,0.297,79
607461,0.059,0.146,0.316,98
572761,0.130,0.268,0.309,92
656305,0.099,0.245,0.351,124
622110,0.112,0.172,0.299,88
459964,0.150,0.223,0.348,116
461314,0.082,0.309,0.285,64
621566,0.107,0.271,0.352,125
642136,0.111,0.317,0.297,84
446308,0.067,0.254,0.285,76
643289,0.069,0.194,0.316,98
596146,0.104,0.170,0.348,118
571970,0.154,0.250,0.356,124
545358,0.091,0.278,0.258,60
650619,0.070,0.308,0.238,42
466320,0.043,0.103,0.301,84
572191,0.066,0.311,0.288,74
488726,0.083,0.114,0.366,134
656308,0.072,0.328,0.308,87
624424,0.123,0.234,0.370,134
605421,0.101,0.311,0.249,56
609280,0.035,0.175,0.208,25
408234,0.092,0.204,0.320,97
500743,0.072,0.120,0.321,102
593934,0.113,0.387,0.359,125
670712,0.063,0.292,0.356,128
645801,0.097,0.178,0.321,101
502273,0.098,0.281,0.318,95
519058,0.095,0.179,0.346,113
643565,0.118,0.238,0.343,114
545361,0.172,0.209,0.428,173
573262,0.097,0.255,0.372,134
572287,0.070,0.362,0.241,50
641598,0.109,0.282,0.373,134
571745,0.106,0.286,0.326,106
519048,0.101,0.218,0.355,120
605141,0.127,0.146,0.383,138
664702,0.107,0.215,0.283,79
663993,0.090,0.318,0.324,106
435522,0.102,0.213,0.311,95
443558,0.110,0.257,0.416,163
592206,0.066,0.234,0.350,116
605113,0.083,0.189,0.316,92
663611,0.037,0.064,0.332,112
455976,0.093,0.134,0.326,99
605361,0.128,0.239,0.291,80
669222,0.073,0.236,0.306,84
669256,0.090,0.193,0.325,101
608384,0.036,0.384,0.193,13
670032,0.061,0.155,0.258,55
663538,0.072,0.168,0.281,73
592348,0.098,0.318,0.301,84
571448,0.089,0.131,0.372,116
608577,0.061,0.246,0.312,88
546318,0.079,0.237,0.272,64
553882,0.104,0.215,0.328,107
606115,0.078,0.192,0.281,70
640458,0.057,0.193,0.294,79
645277,0.071,0.172,0.350,114
622569,0.083,0.229,0.260,57
467055,0.067,0.221,0.316,96
642162,0.064,0.288,0.304,85
657557,0.094,0.237,0.316,97
502671,0.126,0.229,0.356,123
600474,0.087,0.218,0.314,96
624413,0.103,0.262,0.373,136
594838,0.076,0.253,0.293,80
640447,0.092,0.244,0.310,88
646240,0.064,0.196,0.366,126
606132,0.054,0.211,0.317,80
657656,0.073,0.257,0.343,120
545341,0.056,0.247,0.314,95
624512,0.047,0.193,0.287,73
600524,0.075,0.254,0.329,106
656555,0.163,0.243,0.354,119
621006,0.045,0.269,0.252,52
547004,0.092,0.217,0.297,84
543257,0.119,0.184,0.314,100
547379,0.100,0.295,0.306,87
429664,0.056,0.154,0.329,107
455139,0.110,0.281,0.317,101
596451,0.071,0.307,0.272,65
660670,0.124,0.270,0.379,133
608597,0.102,0.291,0.310,85
500135,0.044,0.279,0.283,72
594011,0.092,0.227,0.263,64
596059,0.081,0.309,0.293,74
642133,0.075,0.254,0.323,101
431145,0.120,0.241,0.295,83
460075,0.063,0.203,0.347,113
641477,0.075,0.282,0.274,69
572365,0.104,0.260,0.285,76
643436,0.065,0.327,0.324,101
641857,0.101,0.309,0.324,85
663624,0.079,0.214,0.377,141
656811,0.114,0.271,0.276,67
475582,0.089,0.205,0.313,89
592387,0.067,0.216,0.301,89
521692,0.019,0.231,0.410,162
656541,0.090,0.323,0.347,101
607752,0.070,0.229,0.273,63
506702,0.099,0.250,0.245,45
571697,0.014,0.295,0.241,44
595981,0.079,0.223,0.257,51
664068,0.069,0.292,0.309,89
669221,0.150,0.265,0.361,133
446481,0.125,0.309,0.303,85
643418,0.091,0.260,0.292,84
425783,0.116,0.252,0.347,109
673451,0.137,0.186,0.304,85
660271,0.092,0.267,0.334,110
516770,0.042,0.168,0.308,92
516782,0.044,0.161,0.347,115
572039,0.067,0.243,0.296,87
519390,0.078,0.233,0.310,91
592859,0.061,0.299,0.286,75
621453,0.054,0.281,0.259,59
621493,0.093,0.340,0.302,89
606192,0.088,0.322,0.343,115
642731,0.033,0.281,0.267,64
641313,0.034,0.215,0.367,133
542921,0.064,0.311,0.315,99
641796,0.066,0.175,0.329,101
621005,0.075,0.226,0.297,88
453943,0.076,0.221,0.321,101
608596,0.068,0.310,0.355,126
621512,0.053,0.253,0.253,57
669242,0.056,0.189,0.335,110
600303,0.086,0.073,0.353,124
502054,0.123,0.193,0.338,115
643393,0.097,0.155,0.292,83
547172,0.081,0.188,0.281,57
518595,0.083,0.235,0.339,113
641513,0.078,0.352,0.266,61
543768,0.116,0.309,0.273,66
607208,0.079,0.180,0.374,130
663757,0.117,0.257,0.335,109
596115,0.090,0.259,0.377,120
641820,0.093,0.211,0.373,134
571466,0.118,0.234,0.300,81
664034,0.056,0.242,0.325,104
592122,0.134,0.374,0.298,84
452095,0.100,0.356,0.308,87
571980,0.044,0.244,0.310,90
641933,0.081,0.312,0.289,80
642180,0.108,0.235,0.287,78
643603,0.129,0.280,0.274,71
605170,0.100,0.219,0.325,100
622682,0.046,0.216,0.317,96
645302,0.055,0.239,0.306,85
665489,0.087,0.170,0.332,107
456078,0.064,0.295,0.287,77
593160,0.057,0.159,0.337,109
571976,0.097,0.316,0.342,114
669257,0.114,0.222,0.386,144
650489,0.052,0.288,0.339,112
553902,0.023,0.045,0.290,78
641432,0.063,0.157,0.318,91
575929,0.091,0.251,0.357,121
642715,0.084,0.288,0.322,104
594694,0.093,0.204,0.258,53
527038,0.056,0.135,0.354,120
467092,0.080,0.147,0.320,101
593428,0.105,0.177,0.384,138
425877,0.048,0.130,0.299,86
622168,0.031,0.212,0.296,83
543228,0.092,0.222,0.307,86
650490,0.120,0.161,0.349,123
624577,0.072,0.218,0.330,101
518735,0.168,0.238,0.356,120
660162,0.086,0.286,0.359,127
570560,0.085,0.212,0.288,78
602074,0.067,0.200,0.221,17
475174,0.116,0.209,0.277,66
670541,0.138,0.251,0.431,178
660294,0.141,0.270,0.309,98
493329,0.058,0.109,0.341,118
641470,0.133,0.367,0.264,63
446359,0.047,0.150,0.150,-16
